Genres,Title,Duration,Rating,Vote Count
Action,Mafia Wars,0 days 01:34:00,3.4,210
Action,Code 8: Part II,0 days 01:40:00,5.7,16000
Action,The Fix,0 days 01:38:00,4.6,1100
Action,Singham Again,0 days 02:24:00,4.8,75000
Action,Rifle Club,0 days 01:53:00,7.0,3900
Action,Simarik,0 days 01:51:00,6.4,2300
Action,Hounds of War,0 days 01:35:00,4.5,1700
Action,Sikandar Ka Muqaddar,0 days 02:22:00,6.0,24000
Action,Drive Back,0 days 01:34:00,4.7,286
Action,Rats!,0 days 01:25:00,8.2,74
Action,Justice League: Crisis on Infinite Earths - Part One,0 days 01:33:00,6.2,8300
Action,Prey,0 days 01:26:00,3.7,3200
Action,Badland Hunters,0 days 01:47:00,5.9,12000
Action,The Lost Tiger,0 days 01:30:00,7.8,31
Action,The Courier,0 days 01:41:00,6.0,4300
Action,The Roundup: Punishment,0 days 01:49:00,6.6,5000
Action,Raayan,0 days 02:25:00,6.5,11000
Action,Darkness of Man,0 days 01:49:00,4.8,3100
Action,Cells at Work!,0 days 01:49:00,6.8,157
Action,Officer Black Belt,0 days 01:48:00,6.8,7900
Action,The Prosecutor,0 days 01:57:00,6.8,1300
Action,Duchess,0 days 01:54:00,4.6,1200
Action,Justice League: Crisis on Infinite Earths - Part Three,0 days 01:34:00,6.1,4300
Action,The Price of Money: A Largo Winch Adventure,0 days 01:40:00,5.1,1100
Action,The Wages of Fear,0 days 01:44:00,4.6,4000
Action,Bougainvillea,0 days 02:18:00,6.4,3000
Action,The Quiet Ones,0 days 01:50:00,6.5,504
Action,Pani,0 days 02:23:00,6.9,2700
Action,The Tiger's Apprentice,0 days 01:24:00,5.8,2100
Action,Arena Wars,0 days 01:36:00,5.0,2000
Action,Devara Part 1,0 days 02:56:00,6.0,20000
Action,Karma,0 days 02:47:00,8.1,1400
Action,City Hunter,0 days 01:42:00,6.3,5500
Action,"I, the Executioner",0 days 01:58:00,6.3,1500
Action,One Fast Move,0 days 01:48:00,5.0,2200
Action,One More Shot,0 days 01:43:00,5.4,3500
Action,Golden Kamuy,0 days 02:07:00,6.3,2500
Action,Utopia,0 days 01:31:00,3.7,335
Action,Cloud,0 days 02:03:00,6.3,883
Action,Fight Another Day,0 days 01:37:00,5.1,320
Action,Article 370,0 days 02:38:00,7.8,24000
Action,Air Force One Down,0 days 01:24:00,4.4,2800
Action,Lights Out,0 days 01:30:00,4.9,1700
Action,Ultraman: Rising,0 days 01:57:00,6.9,6200
Action,200% Wolf,0 days 01:38:00,6.0,1300
Action,Fighter,0 days 02:46:00,6.2,52000
Action,Life After Fighting,0 days 02:06:00,6.4,1900
Action,Continental Split,0 days 01:28:00,3.5,531
Action,Die Hart 2: Die Harter,0 days 01:32:00,4.3,5400
Action,The Family Star,0 days 02:39:00,5.4,5400
Action,Zero,0 days 01:28:00,6.1,37
Action,Angels Fallen: Warriors of Peace,0 days 01:43:00,4.9,5800
Action,Latency,0 days 01:34:00,4.2,1700
Action,Kill Em All 2,0 days 01:28:00,4.1,1300
Action,Echo 8,0 days 01:36:00,4.2,159
Action,Agent Recon,0 days 01:25:00,2.4,656
Action,Dan Da Dan: First Encounter,0 days 01:23:00,8.2,2500
Action,Murder Company,0 days 01:26:00,3.6,1500
Action,Ferry 2,0 days 01:34:00,5.6,3700
Action,Operation Blood Hunt,0 days 01:33:00,3.4,453
Action,Freedom,0 days 01:50:00,5.9,1300
Action,Get Fast,0 days 01:28:00,3.6,432
Action,Hijack 1971,0 days 01:40:00,6.8,3200
Action,Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,0 days 02:54:00,8.2,644
Action,Anaconda,0 days 01:24:00,4.9,600
Action,Alien: Rubicon,0 days 01:26:00,2.4,327
Action,A Legend,0 days 02:09:00,4.7,852
Action,Alangu,0 days 02:11:00,8.3,1100
Action,Wynonna Earp: Vengeance,0 days 01:36:00,5.6,1500
Action,Jigra,0 days 02:33:00,6.0,23000
Action,Striking Rescue,0 days 01:46:00,5.7,322
Action,Diabel,0 days 01:48:00,5.1,193
Action,The Clean Up Crew,0 days 01:35:00,4.1,1100
Action,The Hangman,0 days 01:32:00,3.3,983
Action,Justice League: Crisis on Infinite Earths - Part Two,0 days 01:34:00,5.5,5200
Action,Invasion,0 days 01:31:00,4.8,663
Action,Savi,0 days 02:06:00,6.2,35000
Action,Spiders on a Plane,0 days 01:18:00,5.9,358
Action,Agni,0 days 02:02:00,7.3,15000
Action,Revolver,0 days 01:54:00,5.4,815
Action,Terminator: Skynet Rising,0 days 01:28:00,6.8,257
Action,Hanu Man,0 days 02:38:00,7.7,29000
Action,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,0 days 01:44:00,7.1,8200
Action,Sixty Minutes,0 days 01:28:00,5.7,5100
Action,Escape,0 days 01:34:00,6.4,1900
Action,Murder at Hollow Creek,0 days 01:45:00,4.2,77
Action,The Last Kumite,0 days 01:49:00,4.6,2300
Action,London Calling,0 days 01:22:00,6.5,8
Action,Outlaw,0 days 03:03:00,5.2,897
Action,The Greatest of All Time,0 days 02:15:00,5.8,22000
Action,Overlord: The Sacred Kingdom,0 days 01:27:00,7.0,693
Action,72 Hours,0 days 01:53:00,4.1,279
Action,Cassino in Ischia,0 days 02:43:00,4.4,229
Action,Vettaiyan,0 days 01:20:00,7.0,39000
Action,Baby Invasion,0 days 01:45:00,5.5,56
Action,Heart of the Hunter,0 days 02:02:00,4.7,2100
Action,Alienoid: The Return to the Future,0 days 01:41:00,6.5,2500
Action,Handsome Guys,0 days 01:28:00,6.5,739
Action,Snow White and the Seven Samurai,0 days 01:50:00,3.2,260
Action,Operation Undead,0 days 01:25:00,4.6,347
Action,Wanted Man,0 days 02:46:00,4.8,2500
Action,Razakar: The Silent Genocide of Hyderabad,0 days 01:53:00,7.4,5200
Action,"Love, Courage and the Battle of Bushy Run",0 days 02:38:00,5.0,169
Action,Bagheera,0 days 02:25:00,6.7,7200
Action,Kingdom 4: Return of the Great General,0 days 01:57:00,7.1,1200
Action,The Lockdown,0 days 01:24:00,4.3,593
Action,War of the Worlds: Extinction,0 days 01:20:00,3.0,170
Action,Ryan's World the Movie: Titan Universe Adventure,0 days 02:50:00,1.8,632
Action,Viduthalai Part 2,0 days 01:40:00,8.0,15000
Action,GTMax,0 days 02:10:00,5.0,1200
Action,Yodha,0 days 01:38:00,5.7,8800
Action,The Last Front,0 days 02:09:00,5.5,596
Action,Mura,0 days 02:01:00,7.3,6200
Action,The Last Ronin,0 days 02:40:00,4.9,218
Action,Vanvaas,0 days 01:32:00,6.7,1000
Action,Nice Girls,0 days 01:36:00,4.2,1200
Action,The Ballad of Davy Crockett,0 days 02:27:00,4.6,243
Action,12 Gaun,0 days 02:46:00,6.3,862
Action,Saripodhaa Sanivaaram,0 days 02:22:00,7.0,8800
Action,Chandu Champion,0 days 01:21:00,7.8,34000
Action,Don't Mess with Grandma,0 days 02:15:00,6.1,142
Action,Everybody Loves Jenifa,0 days 02:36:00,8.4,77
Action,Thangalaan,0 days 02:32:00,6.6,6500
Action,Kanguva,0 days 02:12:00,4.6,14000
Action,Je Jatt Vigarh Gya,0 days 02:39:00,5.7,812
Action,Guntur Kaaram,0 days 02:30:00,5.4,25000
Action,A.R.M,0 days 02:25:00,7.1,8500
Action,Vedaa,0 days 02:08:00,6.0,4200
Action,Devaki Nandana Vasudeva,0 days 00:44:00,8.9,2700
Action,Rogue Elements: A Ryan Drake Story,0 days 01:21:00,4.9,911
Action,Memes & Nightmares,0 days 01:36:00,5.7,71
Action,12 to Midnight,0 days 01:45:00,3.6,270
Action,Mission: Cross,0 days 01:30:00,6.1,2500
Action,Roadkill,0 days 01:46:00,3.6,672
Action,The Firefighters,0 days 01:38:00,5.9,140
Action,Escape from the 21st Century,0 days 02:15:00,6.5,800
Action,UI,0 days 02:20:00,6.9,5600
Action,Bachhala Malli,0 days 01:41:00,8.3,3900
Action,Lady Scorpions,0 days 01:28:00,3.6,361
Action,How to Rob a Bank,0 days 01:34:00,6.6,4100
Action,Shark Warning,0 days 01:36:00,3.4,247
Action,Alien Country,0 days 01:46:00,4.4,347
Action,WWII: Operation Phoenix,0 days 02:17:00,6.7,61
Action,Khadaan,0 days 01:50:00,7.4,2000
Action,Bionic,0 days 01:18:00,4.3,1700
Action,The Bouncer,0 days 01:20:00,4.3,80
Action,Mother Mafia,0 days 02:27:00,3.3,46
Action,Martin,0 days 01:15:00,2.3,36000
Action,Kuang Bao Ju Xi,0 days 02:26:00,6.2,66
Action,Sector 17,0 days 02:09:00,7.4,1300
Action,Yolo,0 days 02:43:00,6.9,3600
Action,Bade Miyan Chote Miyan,0 days 01:43:00,3.8,39000
Action,Baby Assassins: Nice Days,0 days 01:26:00,7.3,264
Action,The Twisters,0 days 01:49:00,2.5,314
Action,Hattichhap,0 days 01:30:00,8.8,748
Action,Hunting with Tigers,0 days 01:38:00,5.6,502
Action,Devil's Knight,0 days 02:03:00,5.3,759
Action,Rob N Roll,0 days 02:30:00,6.1,1400
Action,Bureau 749,0 days 01:53:00,4.1,497
Action,Auron Mein Kahan Dum Tha,0 days 02:25:00,6.6,40000
Action,40 Acres,0 days 01:56:00,6.4,97
Action,Toofan,0 days 01:54:00,7.1,6100
Action,Black Creek,0 days 02:01:00,6.7,765
Action,Citizen of a Kind,0 days 01:55:00,5.7,533
Action,Pimpinero: Blood and Oil,0 days 01:30:00,7.4,169
Action,Ka Whawhai Tonu,0 days 01:41:00,6.5,476
Action,Eye for an Eye 2,0 days 01:12:00,8.1,15
Action,The Friendly,0 days 01:43:00,5.2,446
Action,S.T.A.L.K.E.R.: Shadow of the Zone,0 days 01:45:00,4.3,482
Action,Hellhound,0 days 01:23:00,5.9,293
