Genres,Title,Duration,Rating,Vote Count
Family,Paper Flowers,0 days 01:30:00,7.8,6
Family,Windcatcher,0 days 00:00:00,7.2,20
Family,Il migliore dei mali,0 days 02:22:00,8.7,406
Family,Heartsping : Teenieping of Love,0 days 01:35:00,6.5,213
Family,Ole Aale,0 days 01:33:00,6.0,63
Family,Juliette au printemps,0 days 01:25:00,7.1,27
Family,Dance Rivals,0 days 01:23:00,4.0,42
Family,The Lamb,0 days 00:00:00,6.2,528
Family,Juf Braaksel en de Geniale Ontsnapping,0 days 01:38:00,7.7,267
Family,Big City Greens the Movie: Spacecation,0 days 01:25:00,5.6,88
Family,Véletlenül írtam egy könyvet,0 days 02:01:00,4.0,805
Family,Skelly,0 days 01:33:00,9.3,94
Family,Grrr...,0 days 01:43:00,7.2,530
Family,Saint Nick of Bethlehem,0 days 01:29:00,3.8,25
Family,G for Gap,0 days 02:00:00,6.7,295
Family,The Magic Penguin,0 days 02:14:00,5.7,30
Family,Dog Days,0 days 01:39:00,8.1,76
Family,Troy the Bharat Putra,0 days 02:17:00,6.0,1200
Family,Dongeng Sang Kancil,0 days 01:47:00,6.1,113
Family,Singapore Saloon,0 days 01:25:00,5.9,51
Family,Si Juki the Movie: Harta Pulau Monyet,0 days 02:16:00,6.7,1300
Family,Kvitebjørn,0 days 02:10:00,8.5,5100
Family,Vishesham,0 days 01:45:00,5.3,294
Family,Laggam,0 days 01:30:00,5.8,160
Family,"Love, Sitara",0 days 01:34:00,5.5,36
Family,Joy of Horses,0 days 01:11:00,4.9,125
Family,Hope,0 days 01:20:00,6.8,25
Family,Goldbeak,0 days 01:52:00,5.5,58
Family,Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,0 days 01:24:00,9.3,24
Family,Magic Beach,0 days 02:26:00,7.5,8
Family,Lucy and the Lake Monster,0 days 01:26:00,7.1,97
Family,14 Days Love,0 days 01:40:00,8.5,65
Family,The Proud Princess,0 days 01:30:00,6.3,288
Family,Cup,0 days 01:28:00,7.4,9
Family,Niko: Beyond the Northern Lights,0 days 01:53:00,3.7,287
Family,Finding Christmas,0 days 01:12:00,6.5,800
Family,Letuchiy korabl,0 days 01:46:00,4.3,189
Family,Domovyonok Kuzya,0 days 01:58:00,8.4,34
Family,SuperKlaus,0 days 01:30:00,4.2,548
Family,Khusma,0 days 01:32:00,6.8,50
Family,Ghudchadi,0 days 01:45:00,5.7,97
Family,Animal Tales of Christmas Magic,0 days 01:05:00,6.5,124
Family,Little Emma,0 days 01:51:00,6.7,82
Family,Hashtag Tadev lagnam,0 days 02:09:00,5.9,45
Family,My Private Line to God,0 days 01:44:00,4.7,163
Family,Stinky Summer,0 days 02:09:00,5.4,104
Family,Yolki 11,0 days 01:25:00,5.0,152
Family,For Prophet,0 days 01:40:00,7.7,2300
Family,Peppa's Cinema Party,0 days 01:10:00,8.4,5400
Family,Daaru Na Peenda Hove,0 days 02:15:00,3.5,170
Family,Sabari,0 days 01:39:00,7.0,104
Family,The Legend of Catclaws Mountain,0 days 01:30:00,3.7,12
Family,Babah,0 days 01:32:00,6.3,62
Family,We Believe,0 days 01:35:00,5.8,49
Family,Blended Christmas,0 days 01:38:00,6.9,739
Family,The Big Trip 3: Race Around the World,0 days 02:02:00,7.4,71
Family,Dedh Bigha Zameen,0 days 01:44:00,3.9,4500
Family,Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,0 days 01:36:00,4.4,113
Family,Luv Ki Arrange Marriage,0 days 02:25:00,6.1,53
Family,Baba Yaga spasaet Novyy god,0 days 01:51:00,7.3,193
Family,LasseMajas detektivbyrå - Maskoten som försvann,0 days 01:00:00,4.8,386
Family,Superkrachten voor je hoofd,0 days 02:19:00,6.3,21
Family,Too Old for Fairy Tales 2,0 days 01:29:00,8.8,537
Family,Heavens: The Boy and His Robot,0 days 01:25:00,7.6,14
Family,Rajakili,0 days 01:55:00,5.8,172
Family,Daye: Seret ahl el Daye,0 days 01:45:00,7.3,2600
Family,Captain Avispa,0 days 01:10:00,9.0,2100
Family,Rajkumar,0 days 01:30:00,6.0,17
Family,Paagal vs Kadhal,0 days 01:59:00,7.9,490
Family,Luigi's Mansion,0 days 02:20:00,6.2,73
Family,Gharat Ganpati,0 days 02:14:00,4.3,72
Family,Powder Pup,0 days 01:14:00,8.4,11
Family,Spirit of Friendship,0 days 01:30:00,8.3,47
Family,Cricket,0 days 01:35:00,5.4,211
Family,Carol,0 days 01:38:00,3.1,122
Family,Ognivo,0 days 01:30:00,6.9,126
Family,De Bellinga's: Pretpark op stelten,0 days 01:40:00,6.6,166
Family,BeBe Winans' We Three Kings,0 days 01:30:00,6.3,2300
Family,Sieger Sein,0 days 01:34:00,4.2,59
Family,Brother,0 days 01:38:00,5.0,7
